month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
10/1/2019,Arkansas,3031,825,4809,7173,351,391,3,12,15,0,1074,1585,7,0,0,0,0,0,13,11,2,0,1,0,19303
10/1/2019,California,36057,0,32128,23005,4198,0,0,0,0,0,489,365,10,0,0,0,0,0,0,0,0,0,0,0,96252
10/1/2019,Colorado,6006,0,15537,13269,1347,1021,0,0,0,0,0,0,0,332,52,0,0,0,0,0,0,0,0,0,37564
10/1/2019,Connecticut,5230,505,4347,1990,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12574
10/1/2019,Delaware,199,0,1624,1749,116,101,0,2,3,0,14,9,0,56,0,0,0,0,59,40,8,1,1,0,3982
10/1/2019,District of Columbia,814,0,113,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933
10/1/2019,Florida,16293,0,47504,19816,3830,2494,3,47,13,0,4194,1357,8,950,124,32,0,0,235,147,38,67,62,0,97214
10/1/2019,Georgia,17918,0,11105,9858,598,644,0,25,16,4,1853,1368,4,7,1,0,0,0,10,5,1,0,0,0,43417
10/1/2019,Guam,0,0,125,69,14,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,217
10/1/2019,Hawaii,1099,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1102
10/1/2019,Idaho,8467,8,3784,5530,375,243,0,5,12,0,368,526,0,42,14,0,0,0,4,13,1,0,0,0,19392
10/1/2019,Illinois,12414,437512,17482,10040,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478329
10/1/2019,Indiana,759,44436,16204,12595,1528,775,24,10,4,3,681,457,24,21,1,0,0,0,42,106,34,6,3,0,77713
10/1/2019,Iowa,5707,7641,174,2940,46,4,1,0,0,0,1,40,0,37,14,0,0,0,0,0,0,0,0,0,16605
10/1/2019,Kansas,1270,8,4917,5227,480,330,0,10,5,3,635,352,4,51,9,3,0,0,9,7,3,1,0,0,13324
10/1/2019,Kentucky,2238,279272,8759,8890,455,612,0,22,28,1,1834,1489,1,6,5,0,0,0,17,18,2,1,0,0,303650
10/1/2019,Louisiana,1606,193,8450,11231,674,568,1,11,15,2,1004,1086,8,0,0,0,0,0,17,25,2,0,0,0,24893
10/1/2019,Maine,430,4,2997,5699,294,209,2,2,1,0,79,145,0,21,21,0,0,0,2,4,2,0,0,0,9912
10/1/2019,Mariana Islands,0,0,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
10/1/2019,Maryland,4065,9,3372,5731,132,37,0,3,0,0,69,154,0,78,27,0,0,0,0,35,1,2,4,1,13720
10/1/2019,Massachusetts,10709,0,4064,2561,473,147,1,0,0,0,12,14,0,0,0,0,0,0,43,24,10,0,1,0,18059
10/1/2019,Michigan,16577,3865,9550,12790,685,243,2,1,5,0,9,254,1,74,5,0,0,0,11,5,1,0,0,0,44078
10/1/2019,Minnesota,11039,24658,8762,16263,909,514,0,1,3,0,218,422,1,68,14,3,0,0,12,30,1,1,1,0,62920
10/1/2019,Mississippi,2056,0,6506,7086,369,342,0,23,13,0,1564,1143,4,36,4,0,0,0,9,9,0,1,2,0,19167
10/1/2019,Missouri,3109,0,16633,18732,1646,1142,0,15,9,2,1529,1145,3,345,68,5,0,0,58,41,9,4,3,0,44498
10/1/2019,Montana,1355,2,2612,5541,251,278,14,4,16,2,396,971,0,32,4,5,0,0,8,4,1,0,0,0,11496
10/1/2019,Nebraska,3365,73,81,2182,21,2,0,0,0,0,5,51,1,18,5,0,0,0,0,3,0,0,0,0,5807
10/1/2019,Nevada,2454,0,4402,2573,298,257,0,0,0,0,315,137,0,0,0,0,0,0,18,9,1,0,0,0,10464
10/1/2019,New Hampshire,1294,2,4876,3219,216,1,38,0,18,0,0,16,0,59,8,5,0,0,0,2,0,0,0,0,9754
10/1/2019,New Jersey,0,0,3756,3226,229,0,0,0,0,0,0,0,0,1,0,0,0,0,58,51,2,1,3,0,7327
